generation,ms,time,fitness_all,fitness_semi
37,"[[13, 3, 14, 4, 1, 10, 7, 16, 12, 15, 2, 5, 8, 6, 11, 9], [8, 1, 1, 3, 1, 16, 16, 1, 1, 16, 2, 4, 1, 4, 1, 16]]",0.0030066967010498047,"[61.0, 57.0, 45.0, 44.0, 44.0, 43.0, 43.0, 41.0, 32.0, 29.0, 30.0, 29.0, 29.0, 29.0, 29.0, 29.0, 27.0, 24.0, 24.0, 24.0, 21.0, 21.0, 19.0, 19.0, 16.0, 14.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 8.0, 8.0, 6.0, 6.0, 0.0]","[44.0, 40.0, 28.0, 26.0, 24.0, 24.0, 24.0, 22.0, 16.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 12.0, 8.0, 8.0, 8.0, 6.0, 6.0, 6.0, 6.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
41,"[[16, 1, 4, 13, 5, 8, 9, 12, 11, 10, 7, 6, 2, 15, 14, 3], [2, 2, 1, 16, 16, 16, 2, 3, 16, 2, 16, 1, 2, 1, 1, 16]]",0.004002094268798828,"[63.0, 51.0, 52.0, 50.0, 47.0, 39.0, 39.0, 35.0, 32.0, 32.0, 32.0, 31.0, 27.0, 26.0, 25.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 21.0, 23.0, 38.0, 38.0, 38.0, 38.0, 38.0, 38.0, 35.0, 32.0, 0.0]","[42.0, 36.0, 28.0, 26.0, 24.0, 16.0, 16.0, 14.0, 12.0, 12.0, 12.0, 12.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 0.0, 0.0]"
35,"[[6, 2, 11, 15, 16, 13, 4, 1, 9, 12, 5, 8, 3, 7, 14, 10], [16, 2, 1, 1, 8, 1, 3, 16, 1, 3, 1, 1, 16, 1, 16, 1]]",0.002994537353515625,"[59.0, 59.0, 37.0, 27.0, 26.0, 20.0, 19.0, 18.0, 16.0, 16.0, 18.0, 16.0, 16.0, 14.0, 16.0, 16.0, 16.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 14.0, 10.0, 8.0, 0.0]","[44.0, 34.0, 26.0, 16.0, 16.0, 12.0, 12.0, 12.0, 8.0, 8.0, 8.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 0.0, 0.0]"
47,"[[16, 4, 13, 1, 5, 9, 8, 12, 2, 14, 3, 15, 11, 7, 10, 6], [16, 16, 16, 1, 2, 1, 1, 1, 1, 16, 1, 1, 16, 1, 1, 1]]",0.0020055770874023438,"[55.0, 47.0, 43.0, 39.0, 37.0, 38.0, 36.0, 34.0, 34.0, 32.0, 23.0, 23.0, 14.0, 13.0, 14.0, 14.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 14.0, 13.0, 13.0, 11.0, 13.0, 14.0, 14.0, 14.0, 15.0, 14.0, 10.0, 10.0, 14.0, 14.0, 14.0, 15.0, 14.0, 13.0, 13.0, 13.0, 13.0, 11.0, 8.0, 8.0, 8.0, 0.0]","[44.0, 28.0, 24.0, 20.0, 18.0, 18.0, 16.0, 14.0, 14.0, 12.0, 10.0, 10.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 0.0, 0.0, 0.0, 0.0]"
19,"[[11, 5, 2, 16, 7, 14, 9, 4, 10, 3, 8, 13, 6, 12, 15, 1], [2, 1, 1, 1, 16, 2, 16, 16, 16, 1, 1, 1, 16, 4, 1, 16]]",0.00498652458190918,"[37.0, 37.0, 36.0, 28.0, 25.0, 21.0, 21.0, 22.0, 21.0, 21.0, 22.0, 21.0, 22.0, 12.0, 11.0, 11.0, 5.0, 6.0, 5.0, 0.0]","[32.0, 32.0, 32.0, 24.0, 22.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 10.0, 8.0, 8.0, 4.0, 4.0, 4.0, 0.0]"
73,"[[9, 14, 7, 4, 5, 11, 16, 2, 12, 6, 1, 15, 8, 3, 10, 13], [1, 16, 1, 1, 1, 1, 1, 1, 1, 2, 16, 2, 1, 16, 16, 1]]",0.003002166748046875,"[66.0, 65.0, 63.0, 57.0, 55.0, 53.0, 53.0, 52.0, 46.0, 45.0, 45.0, 43.0, 42.0, 42.0, 42.0, 41.0, 42.0, 42.0, 42.0, 41.0, 42.0, 42.0, 41.0, 42.0, 42.0, 41.0, 42.0, 41.0, 42.0, 41.0, 42.0, 41.0, 42.0, 41.0, 42.0, 42.0, 42.0, 42.0, 42.0, 42.0, 42.0, 42.0, 42.0, 42.0, 42.0, 41.0, 41.0, 41.0, 42.0, 43.0, 42.0, 43.0, 42.0, 43.0, 42.0, 42.0, 42.0, 42.0, 41.0, 39.0, 39.0, 39.0, 39.0, 38.0, 39.0, 40.0, 28.0, 10.0, 10.0, 10.0, 10.0, 10.0, 2.0, 0.0]","[46.0, 44.0, 26.0, 20.0, 16.0, 14.0, 14.0, 14.0, 8.0, 8.0, 8.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20,"[[8, 11, 5, 10, 15, 6, 12, 1, 2, 3, 13, 16, 9, 14, 4, 7], [3, 16, 16, 16, 16, 16, 2, 1, 2, 1, 16, 16, 16, 2, 2, 16]]",0.0029964447021484375,"[67.0, 51.0, 48.0, 42.0, 42.0, 40.0, 37.0, 31.0, 27.0, 22.0, 22.0, 22.0, 20.0, 12.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]","[54.0, 38.0, 32.0, 24.0, 24.0, 22.0, 20.0, 14.0, 10.0, 4.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
19,"[[9, 4, 14, 7, 15, 12, 6, 1, 2, 13, 3, 16, 8, 5, 11, 10], [1, 3, 16, 16, 16, 16, 1, 16, 16, 16, 1, 1, 3, 2, 2, 1]]",0.0019979476928710938,"[69.0, 63.0, 57.0, 57.0, 55.0, 55.0, 45.0, 39.0, 36.0, 36.0, 34.0, 34.0, 31.0, 10.0, 7.0, 4.0, 4.0, 4.0, 4.0, 0.0]","[46.0, 40.0, 34.0, 26.0, 24.0, 24.0, 20.0, 18.0, 14.0, 14.0, 12.0, 12.0, 10.0, 4.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
41,"[[14, 12, 5, 3, 9, 8, 11, 6, 4, 13, 2, 15, 7, 1, 16, 10], [1, 1, 16, 2, 16, 3, 16, 5, 16, 16, 16, 1, 1, 1, 2, 1]]",0.0026082992553710938,"[56.0, 38.0, 42.0, 33.0, 31.0, 29.0, 29.0, 29.0, 27.0, 29.0, 31.0, 32.0, 31.0, 35.0, 36.0, 37.0, 35.0, 34.0, 36.0, 35.0, 35.0, 33.0, 35.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 22.0, 8.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]","[48.0, 30.0, 30.0, 12.0, 10.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 6.0, 6.0, 6.0, 4.0, 4.0, 4.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
17,"[[13, 11, 8, 2, 3, 5, 16, 10, 6, 4, 9, 15, 12, 14, 1, 7], [2, 1, 2, 2, 16, 16, 4, 16, 16, 16, 16, 2, 16, 2, 16, 16]]",0.0032901763916015625,"[48.0, 47.0, 41.0, 28.0, 27.0, 28.0, 23.0, 22.0, 19.0, 20.0, 20.0, 20.0, 20.0, 20.0, 18.0, 18.0, 4.0, 0.0]","[36.0, 32.0, 28.0, 18.0, 18.0, 14.0, 10.0, 8.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 4.0, 4.0, 0.0, 0.0]"
17,"[[13, 15, 4, 2, 1, 3, 14, 16, 8, 6, 11, 9, 12, 10, 5, 7], [1, 2, 16, 16, 16, 1, 16, 16, 16, 1, 2, 2, 2, 4, 16, 16]]",0.003003358840942383,"[55.0, 55.0, 45.0, 43.0, 39.0, 32.0, 29.0, 27.0, 21.0, 22.0, 18.0, 14.0, 12.0, 12.0, 8.0, 4.0, 4.0, 0.0]","[46.0, 46.0, 36.0, 34.0, 30.0, 28.0, 24.0, 22.0, 18.0, 18.0, 14.0, 10.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
52,"[[4, 2, 15, 13, 5, 16, 1, 12, 14, 9, 8, 3, 11, 7, 10, 6], [16, 16, 5, 2, 7, 1, 16, 1, 16, 16, 16, 1, 16, 2, 5, 2]]",0.003154754638671875,"[53.0, 56.0, 52.0, 51.0, 45.0, 37.0, 36.0, 38.0, 38.0, 39.0, 38.0, 10.0, 10.0, 11.0, 8.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 26.0, 2.0, 2.0, 2.0, 26.0, 0.0]","[42.0, 34.0, 30.0, 28.0, 12.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 2.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
16,"[[10, 16, 3, 5, 15, 1, 14, 4, 2, 8, 11, 13, 7, 9, 6, 12], [4, 16, 2, 2, 16, 1, 1, 16, 16, 2, 2, 1, 16, 16, 16, 1]]",0.0037682056427001953,"[46.0, 52.0, 49.0, 47.0, 33.0, 32.0, 31.0, 32.0, 31.0, 30.0, 30.0, 30.0, 29.0, 28.0, 30.0, 24.0, 0.0]","[36.0, 24.0, 16.0, 14.0, 8.0, 8.0, 8.0, 8.0, 6.0, 6.0, 6.0, 6.0, 6.0, 4.0, 4.0, 0.0, 0.0]"
14,"[[1, 15, 2, 16, 13, 10, 7, 4, 12, 3, 14, 5, 8, 6, 11, 9], [16, 16, 1, 1, 2, 16, 1, 16, 2, 16, 16, 16, 4, 16, 16, 16]]",0.006003379821777344,"[57.0, 52.0, 51.0, 51.0, 49.0, 45.0, 45.0, 44.0, 24.0, 10.0, 10.0, 10.0, 10.0, 2.0, 0.0]","[26.0, 14.0, 12.0, 12.0, 10.0, 6.0, 6.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
67,"[[8, 3, 14, 9, 10, 6, 11, 7, 15, 13, 4, 2, 1, 12, 5, 16], [1, 16, 16, 16, 16, 1, 2, 1, 1, 16, 5, 16, 1, 3, 1, 2]]",0.002003192901611328,"[56.0, 54.0, 54.0, 30.0, 28.0, 28.0, 27.0, 29.0, 27.0, 27.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 22.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0]","[28.0, 26.0, 26.0, 10.0, 10.0, 10.0, 10.0, 10.0, 6.0, 6.0, 4.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
59,"[[6, 3, 12, 13, 2, 16, 9, 7, 15, 1, 8, 10, 11, 14, 5, 4], [1, 1, 1, 1, 1, 3, 16, 1, 5, 1, 1, 1, 1, 16, 16, 1]]",0.003002166748046875,"[66.0, 62.0, 58.0, 67.0, 67.0, 49.0, 44.0, 40.0, 40.0, 39.0, 37.0, 35.0, 31.0, 32.0, 30.0, 28.0, 28.0, 28.0, 28.0, 28.0, 28.0, 28.0, 28.0, 28.0, 27.0, 26.0, 24.0, 24.0, 24.0, 28.0, 24.0, 24.0, 28.0, 26.0, 26.0, 24.0, 23.0, 21.0, 22.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 20.0, 14.0, 14.0, 14.0, 2.0, 0.0]","[60.0, 52.0, 48.0, 48.0, 48.0, 30.0, 28.0, 24.0, 24.0, 24.0, 24.0, 20.0, 16.0, 16.0, 14.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 10.0, 10.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 6.0, 6.0, 6.0, 6.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
41,"[[10, 8, 3, 13, 11, 5, 2, 16, 6, 12, 15, 1, 7, 9, 14, 4], [16, 16, 2, 1, 7, 1, 2, 1, 2, 16, 1, 16, 2, 1, 1, 1]]",0.002985239028930664,"[62.0, 44.0, 43.0, 42.0, 46.0, 44.0, 42.0, 42.0, 40.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 36.0, 32.0, 8.0, 0.0]","[44.0, 26.0, 26.0, 26.0, 16.0, 14.0, 10.0, 10.0, 8.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 0.0]"
22,"[[7, 5, 12, 10, 14, 4, 13, 3, 11, 9, 8, 6, 2, 16, 1, 15], [16, 16, 16, 3, 9, 16, 1, 16, 2, 16, 16, 1, 2, 3, 1, 3]]",0.002000570297241211,"[72.0, 68.0, 63.0, 63.0, 63.0, 61.0, 61.0, 59.0, 59.0, 58.0, 58.0, 56.0, 37.0, 28.0, 28.0, 28.0, 27.0, 24.0, 8.0, 8.0, 8.0, 8.0, 0.0]","[40.0, 26.0, 18.0, 18.0, 18.0, 16.0, 16.0, 14.0, 14.0, 12.0, 12.0, 10.0, 8.0, 4.0, 4.0, 4.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
35,"[[3, 15, 10, 6, 14, 2, 7, 11, 8, 12, 13, 1, 9, 5, 4, 16], [16, 16, 2, 2, 1, 16, 16, 2, 16, 2, 2, 16, 2, 16, 16, 3]]",0.011041879653930664,"[47.0, 35.0, 35.0, 35.0, 32.0, 15.0, 15.0, 15.0, 15.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 17.0, 17.0, 17.0, 19.0, 18.0, 16.0, 16.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 0.0]","[32.0, 28.0, 28.0, 28.0, 26.0, 14.0, 14.0, 14.0, 14.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 8.0, 8.0, 8.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]"
30,"[[6, 12, 3, 13, 16, 9, 2, 7, 1, 8, 15, 10, 11, 5, 14, 4], [16, 1, 1, 16, 1, 16, 16, 1, 16, 2, 16, 1, 1, 1, 1, 1]]",0.003997087478637695,"[61.0, 51.0, 47.0, 38.0, 34.0, 34.0, 33.0, 32.0, 30.0, 19.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 13.0, 10.0, 0.0]","[44.0, 34.0, 30.0, 26.0, 16.0, 14.0, 14.0, 14.0, 12.0, 6.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0]"
18,"[[11, 6, 3, 14, 2, 9, 8, 15, 16, 7, 10, 1, 5, 12, 13, 4], [16, 16, 16, 1, 1, 1, 16, 1, 16, 16, 16, 1, 5, 5, 16, 2]]",0.0030035972595214844,"[44.0, 43.0, 46.0, 44.0, 29.0, 25.0, 21.0, 20.0, 20.0, 14.0, 14.0, 13.0, 13.0, 11.0, 13.0, 11.0, 11.0, 8.0, 0.0]","[38.0, 32.0, 32.0, 30.0, 14.0, 10.0, 6.0, 6.0, 6.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0]"
23,"[[9, 8, 13, 4, 16, 5, 12, 1, 2, 11, 6, 15, 7, 10, 3, 14], [16, 2, 16, 2, 2, 16, 2, 2, 2, 1, 3, 16, 16, 16, 1, 1]]",0.003774881362915039,"[66.0, 62.0, 48.0, 42.0, 40.0, 39.0, 35.0, 34.0, 32.0, 32.0, 31.0, 21.0, 21.0, 21.0, 21.0, 13.0, 10.0, 9.0, 10.0, 8.0, 8.0, 8.0, 4.0, 0.0]","[48.0, 44.0, 30.0, 24.0, 22.0, 20.0, 18.0, 18.0, 16.0, 16.0, 16.0, 10.0, 10.0, 10.0, 10.0, 6.0, 2.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
23,"[[11, 15, 2, 6, 14, 1, 16, 3, 5, 8, 9, 12, 4, 10, 7, 13], [3, 16, 1, 16, 16, 6, 16, 16, 3, 16, 16, 16, 2, 1, 16, 16]]",0.020003080368041992,"[63.0, 59.0, 57.0, 57.0, 56.0, 52.0, 44.0, 38.0, 38.0, 34.0, 14.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 18.0, 14.0, 14.0, 14.0, 2.0, 0.0]","[40.0, 36.0, 34.0, 34.0, 32.0, 22.0, 14.0, 8.0, 8.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
19,"[[4, 13, 2, 15, 16, 10, 7, 1, 5, 3, 14, 12, 9, 8, 11, 6], [16, 1, 16, 16, 3, 16, 16, 16, 1, 8, 2, 1, 16, 16, 3, 16]]",0.002996683120727539,"[52.0, 47.0, 43.0, 27.0, 28.0, 25.0, 21.0, 21.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 19.0, 18.0, 4.0, 4.0, 4.0, 0.0]","[42.0, 30.0, 26.0, 10.0, 10.0, 8.0, 4.0, 4.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
22,"[[8, 9, 3, 14, 5, 12, 2, 15, 10, 7, 13, 4, 11, 6, 16, 1], [16, 1, 16, 1, 1, 1, 16, 16, 16, 1, 1, 16, 16, 16, 16, 16]]",0.0029952526092529297,"[53.0, 35.0, 33.0, 30.0, 17.0, 16.0, 12.0, 11.0, 11.0, 32.0, 6.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0]","[50.0, 32.0, 16.0, 14.0, 6.0, 6.0, 4.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
88,"[[14, 8, 9, 3, 5, 1, 12, 16, 11, 15, 6, 2, 4, 10, 7, 13], [1, 1, 1, 1, 16, 2, 16, 1, 1, 16, 16, 1, 3, 2, 16, 1]]",0.0019698143005371094,"[54.0, 53.0, 43.0, 35.0, 37.0, 37.0, 37.0, 37.0, 35.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 31.0, 29.0, 29.0, 29.0, 29.0, 28.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]","[46.0, 30.0, 20.0, 12.0, 10.0, 10.0, 10.0, 10.0, 8.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 4.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
